#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
obdmx;DMX;mame;;1980;Oberheim;Musical Instrument / Drum Machine;1;;;good;0;;;;Non-arcade;;;;;
j6dyfl;Do You Feel Lucky (JPM) (IMPACT) (set 1);mame;;199?;JPM;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;14;;;;
dorunrun;Do! Run Run (set 1);mame;;1984;Universal;Maze / Collect;2;0;joystick (4-way),joystick (4-way);good;1;raster;;;2P alt;2;;;;
m5doshpk;Do$h 'n' Pecks (Barcrest) (MPU5) (set 1);mame;;199?;Barcrest;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
dobouchn;Dobou-Chan (ver JAA);mame;;1996;Konami;Medal Game / Timing;1;0;only_buttons;preliminary;1;raster;;;???;1;;;;
docchift;Docchi Fighter (Japan, ver 1.02);mame;;2007;Amuzy Corporation;Medal Game / Action;1;0;;preliminary;1;raster;;;???;;;;;
dockman;Dock Man (set 1);mame;;1982;Taito Corporation;Platform / Run Jump;2;90;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;1;;;;
sc4ddosh;Doctor Dosh (Bellfruit) (Scorpion 4) (set 1);mame;;200?;BFM;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
sc5ddosh;Doctor Dosh (Bellfruit) (Scorpion 5) (set 1);mame;;200?;BFM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
drpcjr;Doctor PC Jr;mame;;1996;Bung;Game Console / Home Videogame;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;;;Non-arcade;2;;;;
dw_l2;Doctor Who (L-2);mame;;1992;Bally;Electromechanical / Pinball;1;0;keypad;preliminary;1;raster;;;Pinball;73;;;;
dodgecty;Dodge City (9131-02, U9-2T);mame;;1988;Merit;Gambling / Cards;1;0;gambling;imperfect;1;raster;;;1P;8;;;;
dodgeman;Dodge Man;mame;;1983;Omori Electric Co., Ltd.;Shooter / Flying Horizontal;2;180;joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P alt;2;;;;
dodgem;Dodgem;mame;;1979;Zaccaria;Maze / Driving;1;0;joystick (4-way);imperfect;1;raster;;;2P alt;1;;;;
ddonpach;DoDonPachi (World, 1997 2/ 5 Master Ver.);mame;;1997;Cave (Atlus license);Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;3;;;;
dfkbl;DoDonPachi Dai-Fukkatsu Black Label (Japan, 2010/1/18 BLACK LABEL);mame;;2010;Cave;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P sim;4;;;;
ddpdfk;DoDonPachi Dai-Fukkatsu Ver 1.5 (Japan, 2008/06/23 MASTER VER 1.5);mame;;2008;Cave (AMI license);Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P sim;4;;;;
ddpdojt;DoDonPachi Dai-Ou-Jou Tamashii (V201, China);mame;;2010;IGS / Cave (Tong Li Animation license);Shooter / Flying Vertical;4;270;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;4;;;;
ddp2;DoDonPachi II - Bee Storm (World, ver. 102);mame;;2001;IGS;Shooter / Flying Vertical;4;270;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;pgm;;2P sim;4;;;;
ddp3;DoDonPachi III (World, 2002.05.15 Master Ver);mame;;2002;Cave (AMI license);Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P sim;3;;;;
dogfight;Dog Fight (Thunderbolt);mame;;1983;Orca / Thunderbolt;Shooter / Flying;2;270;joystick (2-way),joystick (2-way);good;1;raster;;;2P alt;1;;;;
dogpatch;Dog Patch;mame;;1977;Midway;Shooter / Versus;2;0;positional,positional;imperfect;1;raster;;;2P sim;1;;;;
dogyuun;Dogyuun;mame;;1992;Toaplan;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;3;;;;
dojokkot;Dojokko Tsukami (Japan, ver 1.02);mame;;2005;Amuzy Corporation;Medal Game / Action;1;0;;preliminary;1;raster;;;???;;;;;
dokaben;Dokaben (Japan);mame;;1989;Capcom;Sports / Cards;2;0;joystick (4-way),joystick (4-way);good;1;raster;;;2P sim;2;;;;
dokaben2;Dokaben 2 (Japan);mame;;1989;Capcom;Sports / Cards;2;0;joystick (4-way),joystick (4-way);good;1;raster;;;2P sim;2;;;;
starseek;Doki Doki Idol Star Seeker (GDL-0005);mame;;2001;G.Rev;Puzzle / Misc. * Mature *;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;naomigd;;2P sim;6;;;;
dokidoki;Doki Doki Penguin Land;mame;;1985;Sega;Platform / Run Jump;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;2;;;;
kingyosu;Dokidoki Kingyo Sukui;mame;;1999;Sammy;Redemption Game / Fishing;1;0;only_buttons;good;1;raster;sammymdl;;1P;2;;;;
